id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count,occasion_cleaned,category,category_name
12526,,UNION HOTEL & RESTAURANT,DINNER,COMMERCIAL,,BROADSIDE; ILLUS; 5.5X10;,OTHER (DAILY);,"A LA CARTE, PRICED MENU; EAGLE & FLAG AT TOP OF MENU;",1900-2139,,,1900-02-26,Union Hotel & Restaurant,,Dollars,USD,complete,2,71,OTHER DAILY,9,Dinner
12528,,CUNARD LINE,LUNCHEON,COMMERCIAL,"R.M.S. "" CAMPANIA""",CARD; ILLUS; COL; 4.5X6.5;,OTHER (DAILY);,"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2142,,,1900-02-26,Cunard Line,,Dollars,USD,complete,2,87,OTHER DAILY,9,Dinner
12533,,RED STAR LINE,DINNER,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,"VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP; PRICED WINE, TOBACCO LIST ON BACK OF MENU;",1900-2152,,,1900-02-26,Red Star Line,,Belgian Francs,BEF,complete,2,55,OTHER DAILY,9,Dinner
12534,,PABST BLUE RIBBON,DINNER,COMMERCIAL,PABST BLUE RIBBON,CARD; ILLUS; COL; 5.25X7.75;,,LOGO OF PABST BLUE RIBBON;,1900-2381,,,1900-03-11,Pabst Blue Ribbon,,Dollars,USD,complete,2,52,,0,
12539,,GOULD'S HOTEL CAFE,DAILY MENU,COMMERCIAL,BOSTON; MA,FOLDER; 8.5 X 12;,,PRICED MENU; PRICED WINE LIST; EXTENSIVE OYSTER AND CLAM MENU;,1900-2611,,,1900-03-29,Gould's Hotel Cafe,,Dollars,USD,complete,4,539,,0,
12545,,GERMAN RESTAURANT & BUFFET,DAILY MENU - 11;30 TO 3;00,COMMERCIAL,"137 E. MADISON ST.,CHICAGO,ILL.",FOLDER; ILL; COL; 4.5 X 10.75;,,LIST OF VAUDEVILLE ENTERTAINERS FOR THE WEEK;,1900-2618,,,1900-03-30,German Restaurant & Buffet,,Dollars,USD,complete,4,113,,0,
12556,,GRAND HOTEL L'D.,DINNER,COMMERCIAL,"YOKOHAMA, JAPAN",FOLDER; ILLUS; COL; 6.5X9.5;,,"FRONT COVER ILLUS, ""BILL OF FARE"" OVER DRAWING OF HOTEL AGAINST BACKGROUND OF CHRYSANTHEMUMS; BACK COVER ILLUS TWO GEISHAS WITH UMBRELLAS BEFORE BACKGROUND OF TEMPLE GARDEN; THE GRAND HOTEL BAND PROGRAMME ON BACK COVER; INSIDE ILLUS, WOMAN AND CHILD ON FO",1900-4126,,,1900-08-21,Grand Hotel L'd.,,Dollars,USD,complete,4,152,,0,
12559,,ASSOCIATION OF EMPLOYING BOOKBINDERS,BANQUET,PROF;,"SAVOY HOTEL, NEW YORK, NY",BOOKLET; ILLUS; 5.5X7;,ANNIVERSARY;,FRENCH; PRICED WINE CARD AFFIXED TO INSIDE COVER; SEAL & MOTTO OF ASSOCIATION ON COVER; TOASTS & MUSICAL PROGRAM INCLUDED; LIST OF MEMBER BOOKBINDING FIRMS; SILK CORD ATTACHMENT;,1900-2156,,,1900-02-26,Association Of Employing Bookbinders,,Dollars,USD,complete,8,30,ANNIVERSARY,3,Annual
12564,,RECTOR'S,DAILY MENU,COMMERCIAL,"BROADWAY AND 44TH ST,NEW YORK,NY",FOLDER;ILL;COL;7X9.5;,DAILY;,SPECIAL DISHES ON SEPARATE CARD FASTENED WITH RIBBON IN PUNCHED HOLE;,1900-3265,,,1900-05-13,Rector's,,Dollars,USD,complete,6,358,DAILY,1,Daily
12568,,JOHN WANAMAKER,[LUNCH],COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, [NY]",BROADSHEET; ILLUS; COL; 4.75X7.75,,"ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;",1900-3270,,,1900-05-14,John Wanamaker,,Dollars,USD,complete,2,72,,0,
12571,,"CLYDE STEAMSHIP CO., THE",DINNER,COMMERCIAL,STEAMSHIP IROQUOIS,BROADSHEET; ILLUS; COL; 10X7;,,"INCLUDES PRICED WINE, LIQUOR, ETC. LIST; STEAMSHIP INSIGNIA ON COVER; ON BACK COVER IS A MAP COMPRISING ALL LINES INVOLVED WITH CLYDE;",1900-2400,,,1900-03-12,"Clyde Steamship Co., The",,Dollars,USD,complete,3,72,,0,
12575,,GRENOBLE HOTEL,SOUPER,COMMERCIAL,NY,BROADSHEET; ILLUS.BORDER; COL; 7 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-2619,,,1900-03-30,Grenoble Hotel,,Dollars,USD,complete,2,255,DAILY,1,Daily
12589,,,,,,,,,,,,1900-04-16,Hotel Netherland,,Dollars,USD,complete,2,145,,0,
12595,,,,,,,,,,,,1900-04-18,Manhattan Hotel,,Dollars,USD,complete,2,177,,0,
12603,,,,,,,,,,,,1900-04-18,Manhattan Hotel,,Dollars,USD,complete,2,121,,0,
12621,,,,,,,,,,,,1900-04-23,Cunard Line,,Dollars,USD,complete,2,102,,0,
12622,,,,,,,,,,,,1900-04-23,Cunard Line,,Dollars,USD,complete,2,102,,0,
12624,,,,,,,,,,,,1900-02-18,U.S.M.S. New York,,Dollars,USD,complete,2,103,,0,
12625,,,,,,,,,,,,1900-02-18,Bartholdi Hotel,,Dollars,USD,complete,2,200,,0,
12626,,,,,,,,,,,,1900-02-18,Bartholdi Hotel,,Dollars,USD,complete,4,342,,0,
12627,,,,,,,,,,,,1900-02-19,Haan's,,Dollars,USD,complete,2,376,,0,
12628,,,,,,,,,,,,1900-02-19,Marie Antoinette Hotel,,Dollars,USD,complete,2,81,,0,
12629,,,,,,,,,,,,1900-02-20,Red Star Line   S.S.Southwark,,Belgian Francs,BEF,complete,2,62,,0,
12630,,,,,,,,,,,,1900-02-20,Marie Antoinette Hotel,,Dollars,USD,complete,2,123,,0,
12636,,,,,,,,,,,,1865-06-09,Revere House,,Dollars,USD,complete,4,403,,0,
12638,,,,,,,,,,,,1901-06-03,Columbia Restaurant,,Dollars,USD,complete,4,495,,0,
12642,,,,,,,,,,,,1901-01-01,Northern Steamship Co.,,Dollars,USD,complete,4,11,,0,
12643,,,,,,,,,,,,1901-01-01,Citizens'steamboat Company,,Dollars,USD,complete,8,254,,0,
12646,,,,,,,,,,,,1900-02-26,Union Hotel & Restaurant,,Dollars,USD,complete,2,72,,0,
12647,,,,,,,,,,,,1900-02-26,Cunard Line,,Shillings,SHP,complete,2,92,,0,
12648,,,,,,,,,,,,1900-02-26,Cunard Line,,Shillings,SHP,complete,2,96,,0,
12653,,,,,,,,,,,,1900-02-26,Red Star Line,,Francs,FRF,complete,2,51,,0,
12654,,,,,,,,,,,,1900-03-11,Pabst Blue Ribbon,,Dollars,USD,complete,2,50,,0,
12657,,,,,,,,,,,,1900-03-11,Cunard Line,,Shillings,SHP,complete,2,96,,0,
12665,,,,,,,,,,,,1900-03-30,German Restaurant & Buffet,,Dollars,USD,complete,4,112,,0,
12688,,,,,,,,,,,,1900-05-14,John Wanamaker,,Dollars,USD,complete,2,73,,0,
12695,,,,,,,,,,,,1900-03-30,Grenoble Hotel,,Dollars,USD,complete,2,250,,0,
12700,,GERMAN RESTAURANT & BUFFET,DAILY MENU - 11;30 T0 3;00,COMMERCIAL,"137 E. MADISON ST. CHICAGO, ILL.",FOLDER; ILLUS; COL; 4.5 X 10.5;,DAILY,LIST OF VAUDEVIILE ENTERTAINERS FOR THE WEEK;,1900-2630,,,1900-03-31,German Restaurant & Buffet,,Dollars,USD,complete,4,109,DAILY,1,Daily
12702,,PIONEER DINING CAR LINE,DAILY MENU,COMMERCIAL,EN ROUTE,BROADSIDE; COL; 5 X 7.25;,DAILY,SEPARATE PAGE OF HANDWRITTEN SPECIALS PASTED ON REGULAR MENU;,1900-2632,,,1900-03-31,Pioneer Dining Car Line,,Dollars,USD,complete,2,46,DAILY,1,Daily
12704,,NETHERLAND HOTEL,A LA CARTE MENU,COMMERCIAL,NY,FOLDER; ILLUS; COL; 6.5 X 11;,DAILY,,1900-2637,,,1900-04-01,Netherland Hotel,,Dollars,USD,complete,4,389,DAILY,1,Daily
12724,,JOHN WANAMAKER,DAILY MENU,COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, [NY]",FOLDER; ILLUS; COL; 6.25X10.5;,,"ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;",1900-3277,,,1900-05-14,John Wanamaker,,Dollars,USD,complete,4,242,,0,
12736,,HAAN'S,LUNCH,COMMERCIAL,"75TH STREET AND COLUMBUS AVE,NEW YORK,NY",CARD;ILL;COL;5X8.25;,DAILY;,WINE LIST;,1900-1175,,,1900-02-20,Haan's,,Dollars,USD,complete,2,191,DAILY,1,Daily
12737,,WEST END HOTEL RESTAURANT,DAILY,COMMERCIAL,"WEST 125TH STREET,NEW YORK,NY",FOLDER;COL;7X12.25;,DAILY;,WINE LIST;PRICE CHANGES;,1900-1179,,,1900-02-20,West End Hotel Restaurant,,Dollars,USD,complete,4,378,DAILY,1,Daily
12754,,EVERETT HOUSE,BREAKFAST,COMMERCIAL,"UNION SQUARE,NEW YORK,NY",FOLDER;ILL;COL;7X11L,DAILY;,EMBLEM AND DECORATION ON FRONT COVER;HANDWRITTEN DATE BY FB;WINE LIST ON BACK;,1900-2930,,,1900-04-23,Everett House,,Dollars,USD,complete,4,516,DAILY,1,Daily
12755,,EVERETT HOUSE,BILL OF FARE,COMMERCIAL,"UNION SQUARE,NEW YORK,NY",FOLDER;ILL;COL;7X11L,DAILY;,EMBLEM AND DECORATION ON FRONT COVER;HANDWRITTEN DATE BY FB;WINE LIST ON BACK;,1900-2931,,,1900-04-23,Everett House,,Dollars,USD,complete,4,579,DAILY,1,Daily
12768,,RED STAR LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S. SOUTHWARK,CARD; ILLUS; 5 X 8;,,HANDWRITTEN; MARINE SCENE OF STEAMER AND LIFEBOAT; PRICED WINE LIST ON BACK WITH EXCHANGE RATES FROM FRENCH CURRENCY;,1900-2186,,,1900-02-27,Red Star Line,,Dollars,USD,complete,2,53,,0,
12769,,RED STAR LINE,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S. WESTERNLAND;,CARD; ILLUS; 5 X 8;,,HANDWRITTEN;  MARINE SCENE OF STEAMER AND SAILING SHIPS;,1900-2188,,,1900-02-28,Red Star Line,,Dollars,USD,complete,2,17,,0,
12771,,CUNARD LINE,BREAKFAST,COMMERCIAL,EN RPUTE ABOARD R.M.S. CAMPANIA,CARD; 4.25 X 6.5;,,WINE LIST ON BACK PRICED IN BRITISH CURRENCY;,1900-2192,,,1900-02-27,Cunard Line,,Shillings,SHP,complete,2,108,,0,
12773,,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,DINNER,COMMERCIAL,"S.S. ""COPTIC""",FOLDER; ILLUS; 5.5X8.5;,,"ITEMS OF THE DAY HANDWRITTEN IN LAVENDAR INK ON PRINTED FORM; DECORATIVE BORDER & ANCHOR, FLAGS, ETC. ON COVER;",1900-2412,,,1900-03-13,Occidental & Oriental Steamship Co.,,Dollars,USD,complete,4,34,,0,
12774,,SAVOY HOTEL,MENU,COMMERCIAL,"NEW YORK, NY",BOOKLET; ILLUS; COL; 6.5X10;,,A LA CARTE PRICED MENU; HOTEL SEAL ON COVER;,1900-2418,,,1900-03-14,Savoy Hotel,,Dollars,USD,complete,2,144,,0,
12775,,(MANHATTAN CLUB),DINNWE,COMMERCIAL,,FOLDER; ILLUS; 6X9.5;,,A LA CARTE PRICED MENU; CLUB MONOGRAM ON COVER;,1900-2420,,,1900-03-14,Manhattan Club,,Dollars,USD,under review,4,137,,0,
12781,,BROADWAY CENTRAL HOTEL,DINNER MENU,COMMERCIAL,"NEW YORK, NY",FOLDER; ILLUS; COL; 5.5X9;,,ONE OF A LARGE NUMBER OF MENUS WE HAVE HAD IN PAST; INCLUDES BIRD'S-EYE MAP OF NEW YORK PLUS OBJECTS OF INTEREST IN AND ABOUT NEW YORK;,1900-1012,,,1900-02-12,Broadway Central Hotel,,Dollars,USD,complete,4,63,,0,
12782,,EMPIRE HOTEL,DINNER MENU,COMMERCIAL,"NEW YORK, NY",FOLDER; ILLUS; COL; 6.25X8.75;,,A LA CARTE DU JOUR DINNER MENU; INCLUDES EXTENSIVE PRICED WINE LIST; HOTEL MONOGRAM ON COVER;,1900-1014,,,1900-01-12,Empire Hotel,,Dollars,USD,complete,4,300,,0,
12783,,COLONIAL HOTEL,MENU,COMMERCIAL,"NEW YORK, NY",FOLDER; ILLUS; 6.25X10;,,"[DATE HANDWRITTEN]; MANY ADDITIONAL ITEMS TO MENU HANDWRITTEN; ""CREAM WITH TEA, COFFEE, ETC.,FIVE CENTS EXTRA;"" ILLUSTRATION OF HOTEL ON COVER;",1900-1015,,,1900-02-12,Colonial Hotel,,Dollars,USD,complete,4,378,,0,
12784,,MINOT HOTEL,CAFE & RESTAURANT MENU,COMMERCIAL,"NEW YORK, NY",FOLDER; ILLUS; 7X11;,,"PRICED MENU AND WINE LIST; ""RUSSIAN CAVIAR-25 CENTS;"" DECORATIVE FLEUR DE LIS ON COVER;",1900-1017,,,1900-02-12,Minot Hotel,,Dollars,USD,complete,4,322,,0,
12787,,SULLIVAN'S,MENU,COMMERCIAL,,BROADSHEET; 8X10.5;,,PRINTED IN VIOLET INK ON TISSUE THIN PAPER;,1900-1026,,,1900-02-12,Sullivan's,,Dollars,USD,complete,2,61,,0,
12788,,SULLIVAN'S RESTAURANT,BILL OF FARE,COMMERCIAL,[2351 3RD AVE. NEAR 128TH ST],BROADSHEET; 5.5X9.5;,,[PLACE & DATE INFO HANDWRITTEN];,1900-1027,,,1900-02-12,Sullivan's Restaurant,,Dollars,USD,complete,2,109,,0,
12789,,CAFETERIA LUNCH,BILL OF FARE,COMMERCIAL,"57 BROAD ST., NEW YORK, NY",FOLDER; ILLUS; COL; 6X9.5;,,"WE HAVE HAD THIS RESTAURANT BEFORE; SPECIALS MIMEOGRAPHED IN LAVENDAR HANDWRITING; ""SPECIAL DISHES FOR DAY AFTER LINCOLN'S BIRTHDAY -- SHADES OF LINCOLN: I REALLY BELIEVE THE CIVIL WAR WOULD HAVE BEEN AVERTED BY CAFETERIAS IN 1861;"" DECORATIVE BORDER, MOO",1900-1029,,,1900-02-13,Cafeteria Lunch,,Dollars,USD,complete,4,115,,0,
12793,,MARIE ANTOINETTE HOTEL,LUNCHEON MENU,COMMERCIAL,"NEW YORK, NY",BROADSIDE; ILLUS; COL; 4.5X7.5;,,PRICED A LA CARTE MENU; HOTEL SEAL AT TOP OF MENU;,1900-1035,,,1900-02-13,Marie Antoinette Hotel,,Dollars,USD,complete,2,82,,0,
12801,,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,DINNER,COMMERCIAL,SS DORIC,BROADSHEET;ILL;,OTHER (FAREWELL),HANDWRITTEN AND MECHANICALLY REPRODUCED;MUSICAL PROGRAM ON SEPARATE SHEET PROFUSELY ILLUSTRATED BY HAND;PROBABLY PERFORMED BY THE PASSENGERS; THE CAPTAIN IS LISTED FOR A SONG;,1900-2666,,,1900-04-05,Occidental & Oriental Steamship Co.,,Dollars,USD,complete,6,46,OTHER FAREWELL,10,Breakfast
12803,,MILLS HOTEL RESTAURANT,BILL OF FARE/BREAKFAST/DINNER,COMMERCIAL,"BLEECKER, THOMPSON AND SULLIVAN STREETS, ENTRANCE ON BLEECKER STREET, [NEW YORK, NY];",BROADSHEET; 3.75X6.0;,,"REGULAR DINNER: 15 CENTS: SOUP, ONE MEAT DISH, TWO VEGETABLES, DESSERT, TEA, COFFEE OR MILK;",1900-2673,,,1900-04-06,Mills Hotel Restaurant,,Dollars,USD,complete,2,46,,0,
12804,,UNION LEAGUE CLUB,CARTE DU JOUR,SOC;,"[NEW YORK, NY]",CARD; 6.5X10.0;,,,1900-2685,,,1900-04-07,Union League Club,,Dollars,USD,complete,2,171,,0,
12807,,MILLS HOTEL RESTAURANT,BILL OF FARE/DINNER,COMMERCIAL,"BLEECKER, THOMPSON AND SULLIVAN STREETS, ENTRANCE ON BLEECKER STREET, [NEW YORK, NY];",BROADSHEET; 3.75X6.0;,,"REGULAR DINNER: 15 CENTS: SOUP, ONE MEAT DISH, TWO VEGETABLES, DESSERT, TEA, COFFEE OR MILK;",1900-2688,,,1900-04-07,Mills Hotel Restaurant,,Dollars,USD,complete,2,21,,0,
12814,,CUSTOM HOUSE RESTAURANT,MENU,COMMERCIAL,,FOLDER; 6X12;,,"A LA CARTE MENU; DATE HANDWRITTEN; NO LOCATION, BUT PRINTER AT 206 PEARL STREET, SO IT MAY LIKELY BE NEW YORK CITY;",1900-2974,,,1900-04-26,Custom House Restaurant,,Dollars,USD,complete,4,174,,0,
12815,,CENTRAL RESTAURANT,MENU,COMMERCIAL,"NEW YORK, NY",FOLDER; 6.75X10;,,"A LA CARTE MENU; [DATE HANDWRITTEN]; LOCATION 142 LIBERTY ST, SO IT IS MORE THAN LIKELY NEW YORK CITY; ALL SPECIAL ITEMS HANDWRITTEN; PRICED WINE LIST ON BACK;",1900-2975,,,1900-04-26,Central Restaurant,,Dollars,USD,complete,4,191,,0,
12818,,CENTRAL RESTAURANT & ROOF GARDEN,TABLE D'HOTE DINNER,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; 4.5X5.75;,,TABLE D'HOTE DINNER -- 50 CENTS; PRICED WINE LIST ON BACK OF MENU;,1900-2981,,,1900-04-26,Central Restaurant & Roof Garden,,Dollars,USD,complete,2,89,,0,
12819,,CENTRAL RESTAURANT CO.,MENU,COMMERCIAL,"NEW YORK, NY",BOOKLET; ILLUS; 6X9.5;,,"PRICED MENU; INCLUDES ""DINNER READY TO SERVE"" MENU; PRICED WINE CARD ON BACK OF MENU;",1900-2982,,,1900-04-26,Central Restaurant Co.,,Dollars,USD,complete,6,298,,0,
12821,,CUNARD LINE,BREALFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,CARD; 4.25 X 6.5;,,LOGO; WINE LIST PRICED IN BRITISH CURRENCY ON BACK;,1900-2989,,,1900-04-26,Cunard Line,,Dollars,USD,complete,2,102,,0,
12828,,RIGGS HOUSE,BREAKFAST,COMMERCIAL,"WASHINGTON,D.C.",BROADSIDE; COL;4.5 X 7;,DAILY,,1900-3008,,,1900-04-27,Riggs House,,Dollars,USD,complete,2,75,DAILY,1,Daily
12831,,MANHATTAN HOTEL,DINNER,COMMERCIAL,"42ND ST. & MAD. AVE, NY",BROADSIDE; ILLUS; 6 X 9.75,DAILY,,1900-2203,,,1900-03-01,Manhattan Hotel,,Dollars,USD,complete,2,176,DAILY,1,Daily
12837,,MANHATTAN HOTEL,LUNCHEON,COMMERCIAL,MADISON AVE. & 42 ST. NY,BROADSIDE; ILLUS; 6 X 9.5;,DAILY;,,1900-2219,,,1900-03-01,Manhattan Hotel,,Dollars,USD,complete,2,129,DAILY,1,Daily
12838,,HOTEL MARLBOROUGH,DINNER,COMMERCIAL,"[BROADWAY AND 36TH ST,NEW YORK,NY]",CARD;ILL;COL;4.25X7;,DAILY;,COAT OF ARMS IN UPPER LEFT;,1900-2220,,,1900-03-01,Hotel Marlborough,,Dollars,USD,complete,2,44,DAILY,1,Daily
12839,,HOTEL MARLBOROUGH,DINNER,COMMERCIAL,"BROADWAY AND 36TH AND 37TH ST,NEW YORK,NY",FOLDER;ILL;COL;5.5X8.5;,DAILY;,PRICED WINE LIST;COAT OF ARMS;HOTEL PICTURED ON BACK COVER;,1900-2221,,,1900-03-01,Hotel Marlborough,,Dollars,USD,complete,4,184,DAILY,1,Daily
12840,,HOTEL MARLBOROUGH,SUPPER,COMMERCIAL,"[66 STREET AND BROADWAY,NEW YORK,NY]",CARD;ILL;COL;7X11;,DAILY;,COAT OF ARMS;DATE HANDWRITTEN BY FB;,1900-2225,,,1900-03-02,Hotel Marlborough,,Dollars,USD,complete,2,235,DAILY,1,Daily
12841,,HOTEL MARLBOROUGH,BREAKFAST,COMMERCIAL,"[66 STREET AND BROADWAY,NEW YORK,NY]",CARD;ILL;COL;7X11;,DAILY;,COAT OF ARMS;DATE HANDWRITTEN BY FB;,1900-2226,,,1900-03-02,Hotel Marlborough,,Dollars,USD,complete,2,317,DAILY,1,Daily
12842,,HOTEL MARLBOROUGH,DAILY CARTE DU JOUR,COMMERCIAL,"[66TH STREET AND BROADWAY,NEW YORK,NY]",CARD;ILL;COL;7X13;,,"HANDWRITTEN DATE,CARTE DU JOUR;",1900-2230,,,1900-03-02,Hotel Marlborough,,Dollars,USD,complete,2,377,,0,
12850,,P.R.R. (PENNSYLVANIA RR),DINNER,COMMERCIAL,RR STATION,CARD; COL; 6 X 10;,,PRICED MENU; PRICED WINE LIST; AFTER THEATRE SUPPER TO ORDER; BLUE; LOGO;,1900-2433,,,1900-03-14,P.R.R. (Pennsylvania Rr),,Dollars,USD,complete,2,191,,0,
12851,,EWING'S NEW RESTAURANT,DAILY MENU,COMMERCIAL,"13 MONTGOMERY STREET (JERSEY CITY, NJ?)",FOLDER; 6 X 9;,,MENU HAS SPACE FOR HANDWRITTEN PRICES BUT PRICES ARE NOT NOTED; ROOMS AVAILABLE; COMMUTATION TICKETS AVAILABLE; OPEN ALL NIGHT;,1900-2434,,,1900-03-14,Ewing's New Restaurant,,Dollars,USD,complete,4,275,,0,
12852,,HOTEL MONTGOMERY,DAILY MENU,COMMERCIAL,"90 MONTGOMERY STREET, JERSEY CITY, NJ",FOLDER; 6 X 9.25;,,PRICED MENU; PRICED WINE LIST; HANDWRITTEN INSERT; ROOMS FOR GENTLEMEN ONLY;,1900-2435,,,1900-03-14,Hotel Montgomery,,Dollars,USD,complete,4,202,,0,
12853,,NEW YORK ATHLETIC CLUB,DAILY MENU,OTHER (PRIVATE CLUB);,NEW YORK,CARD; 6.75 X 11;,,PRICED MENU; LOGO;,1900-2436,,,1900-03-14,New York Athletic Club,,Dollars,USD,complete,2,164,,0,
12854,,UNION LEAGUE CLUB,DAILY MENU,OTHER (PRIVATE CLUB),(NEW YORK?),CARD; 6.25 X 9.25;,,PRICED MENU;,1900-2437,,,1900-03-14,Union League Club,,Dollars,USD,complete,2,106,,0,
12858,,HOTEL WASHINGTON,DAILY MENU,COMMERCIAL,"JERSEY CITY, NY",FOLDER; 7 X 11;,,PRICED MENU; PRICED WINE LIST; HANDWRITTEN INSERT,1900-2445,,,1900-03-14,Hotel Washington,,Dollars,USD,complete,4,253,,0,
